Gene_Name	GOA_Kidney_Research_Priority
LOC100555534	Yes
LOC100595821	Yes
LOC100894903	Yes
LOC100912836	Yes
LOC367515	Yes
LOC477273	Yes
LOC481602	Yes
LOC499235	Yes
LOC532403	Yes
LOC711440	Yes
LOC718349	Yes
LOC72520	Yes
LONP2	Yes
LONRF1	Yes
LPP	Yes
LRMP	Yes
LRRC34	Yes
LRRC7	Yes
LRRFIP1	Yes
LRSAM1	Yes
LTBP1	Yes
LTF	Yes
LY75	Yes
M1AP	Yes
MACROD2	Yes
MAFA-DRB	Yes
MAGED1	Yes
MAGI1	Yes
MAGI2	Yes
MAL	Yes
MALL	Yes
MAP2K1	Yes
MAP2K2	Yes
MAP2K3OS	Yes
MAP3K10	Yes
MAP4K4	Yes
MAPK1	Yes
MAPK13	Yes
MAPK3	Yes
MAPK7	Yes
MARF1	Yes
MARVELD2	Yes
MATN2	Yes
MAVS	Yes
MC5R	Yes
MCL1	Yes
MCM4	Yes
MDK	Yes
MDM2	Yes
MDP	Yes
ME3	Yes
MECOM	Yes
MED1	Yes
MEF2A	Yes
MEF2C	Yes
MEG3	Yes
MET	Yes
METTL7B	Yes
MFAP4	Yes
MFF	Yes
MFSD4B	Yes
MFSD4B1	Yes
MGST1	Yes
MHC-DRB	Yes
MIOX	Yes
MIR199A2	Yes
MITF	Yes
MKIAA0543	Yes
MKKS	Yes
MLC1	Yes
MLLT11	Yes
MLLT6	Yes
MLXIP	Yes
MLYCD	Yes
MME	Yes
MMP1	Yes
MMP2	Yes
MMP7	Yes
MMRN1	Yes
MORC3	Yes
MPC2	Yes
MPV17	Yes
MPV17L	Yes
MPZL2	Yes
MRAS	Yes
MRNIP	Yes
MRPL9	Yes
MRPS30	Yes
MSN	Yes
MT1	Yes
MT1A	Yes
MT1B	Yes
MT1C	Yes
MT1D	Yes
MT1E	Yes
MT1F	Yes
MT1G	Yes
MT1H	Yes
MT1L	Yes
MT1M	Yes
MT1X	Yes
MT2	Yes
MT2A	Yes
MT2B	Yes
MT3	Yes
MTDH	Yes
MTHFD2	Yes
MTNC	Yes
MTSS1	Yes
MTSS1L	Yes
MUC1	Yes
MUL1	Yes
MUP1	Yes
MUP11	Yes
MUP2	Yes
MUP20	Yes
MUP3	Yes
MUP4	Yes
MUP5	Yes
MUP6	Yes
MVD	Yes
MVK	Yes
MXD3	Yes
MYBL1	Yes
MYC	Yes
MYC-A	Yes
MYH10	Yes
MYH14	Yes
MYH9	Yes
MYL10	Yes
MYL12A	Yes
MYL12B	Yes
MYL6	Yes
MYL7	Yes
MYL9	Yes
MYLK	Yes
MYLK2	Yes
MYLK3	Yes
MYLPF	Yes
MYO10	Yes
MYO15B	Yes
MYO1B	Yes
NAA30	Yes
NAB1	Yes
NAB2	Yes
NAIP	Yes
NAIP1	Yes
NAMPT	Yes
NAPG	Yes
NAPSA	Yes
NAT8	Yes
NBEA	Yes
NCK1	Yes
NCK2	Yes
NCKAP1	Yes
NCKAP1L	Yes
NCOA3	Yes
NEBL	Yes
NEK4	Yes
NEK7	Yes
NEWGENE_6497122	Yes
NF1	Yes
NFIB	Yes
NKG7	Yes
NKX3-1	Yes
NLGN4Y	Yes
NLRC3	Yes
NMT2	Yes
NOG	Yes
NOL3	Yes
NOS1	Yes
NOS2	Yes
NOS3	Yes
NOTCH1	Yes
NOTCH2	Yes
NOTCH4	Yes
NPAS3	Yes
NPHP1	Yes
NPHP3	Yes
NPHP4	Yes
NPHS1	Yes
NPHS2	Yes
NPNT	Yes
NPPB	Yes
NPR3	Yes
NPTX2	Yes
NR3C1	Yes
NR3C2	Yes
NRAS	Yes
NRBP2	Yes
NREP	Yes
NRP1	Yes
NRSN2	Yes
NSG2	Yes
NUAK1	Yes
NUCB1	Yes
NUDT12	Yes
NUDT19	Yes
NUDT7	Yes
O00172	Yes
O00420	Yes
O13111	Yes
O14597	Yes
O14741	Yes
O15094	Yes
O18842	Yes
O43601	Yes
O43832	Yes
O57484	Yes
O60352	Yes
O88684	Yes
O93346	Yes
OAS1	Yes
OCLN	Yes
OCRL	Yes
OGG1	Yes
OIP5	Yes
OK/SW-CL.68	Yes
OLFML3	Yes
OPN	Yes
OR10H4	Yes
OR12A07	Yes
OR2L8	Yes
OR2S2	Yes
OR6A2	Yes
ORM1	Yes
OSR1	Yes
OSR2	Yes
OSR2-A	Yes
OXTR	Yes
P02761	Yes
P02800	Yes
P02801	Yes
P11957	Yes
P18055	Yes
P33MONOX	Yes
P3.58	Yes
P3H2	Yes
P4HA2	Yes
P55942	Yes
P55943	Yes
P80289	Yes
P80290	Yes
P80291	Yes
P80292	Yes
PAK1	Yes
PAK2	Yes
PAK3	Yes
PAK4	Yes
PAK5	Yes
PAK6	Yes
PALLD	Yes
PAM	Yes
PANDA_000148	Yes
PANDA_000324	Yes
PANDA_001397	Yes
PANDA_002390	Yes
PANDA_002743	Yes
PANDA_003019	Yes
PANDA_003072	Yes
PANDA_003456	Yes
PANDA_003580	Yes
PANDA_003859	Yes
PANDA_003979	Yes
PANDA_004016	Yes
PANDA_005664	Yes
PANDA_005946	Yes
PANDA_006422	Yes
PANDA_006482	Yes
PANDA_007979	Yes
PANDA_008702	Yes
PANDA_009156	Yes
PANDA_009178	Yes
PANDA_009317	Yes
PANDA_009788	Yes
PANDA_010022	Yes
PANDA_010694	Yes
PANDA_010743	Yes
PANDA_010875	Yes
PANDA_013598	Yes
PANDA_014138	Yes
PANDA_014230	Yes
PANDA_015074	Yes
PANDA_015980	Yes
PANDA_016948	Yes
PANDA_017396	Yes
PANDA_019348	Yes
PANDA_020053	Yes
PANDA_020601	Yes
PANDA_022198	Yes
PANK2	Yes
PAOX	Yes
PAPLN	Yes
PAPPA	Yes
PARD3	Yes
PAWR	Yes
PAX2	Yes
PAX-2	Yes
PAX2-A	Yes
PAX2-B	Yes
PAX8	Yes
PAXIP1	Yes
PBX1	Yes
PBX2	Yes
PCDH20	Yes
PCID2	Yes
PCK1	Yes
PCK2	Yes
PCNA	Yes
PCP4	Yes
PCSK5	Yes
PCSK9	Yes
PDE2A	Yes
PDE2A3	Yes
PDE4DIP	Yes
PDE5A	Yes
PDGFA	Yes
PDGFB	Yes
PDGFRA	Yes
PDGFRB	Yes
PDPN	Yes
PDSS2	Yes
PECR	Yes
PEX1	Yes
PEX10	Yes
PEX11A	Yes
PEX11B	Yes
PEX11G	Yes
PEX12	Yes
PEX13	Yes
PEX14	Yes
PEX16	Yes
PEX19	Yes
PEX2	Yes
PEX26	Yes
PEX3	Yes
PEX5	Yes
PEX5L	Yes
PEX6	Yes
PEX7	Yes
PFKFB3	Yes
PFN1	Yes
PFN2	Yes
PFN3	Yes
PFN4	Yes
PHF8	Yes
PHYH	Yes
PIBF1	Yes
PIK3CA	Yes
PIK3CB	Yes
PIK3CD	Yes
PIK3CG	Yes
PIK3R1	Yes
PIK3R2	Yes
PIK3R3	Yes
PIK3R5	Yes
PIKFYVE	Yes
PIP4K2A	Yes
PIP4K2B	Yes
PIP4K2C	Yes
PIP5K1A	Yes
PIP5K1B	Yes
PIP5K1C	Yes
PIPOX	Yes
PJA1	Yes
PKD1	Yes
PKD2	Yes
PKHD1	Yes
PKHD1L1	Yes
PLA2G7	Yes
PLA2R1	Yes
PLAT	Yes
PLAU	Yes
PLAUR	Yes
PLCB1	Yes
PLCB2	Yes
PLCB3	Yes
PLCB4	Yes
PLCD1	Yes
PLCD3	Yes
PLCD4	Yes
PLCE1	Yes
PLCG1	Yes
PLCG2	Yes
PLCZ1	Yes
PLD3	Yes
PLEK	Yes
PLG	Yes
PLN	Yes
PLP2	Yes
PLPP3	Yes
PLPP5	Yes
PLS3	Yes
PLSCR1	Yes
PMAIP1	Yes
PMM2	Yes
PMP22	Yes
PMVK	Yes
PNMA1	Yes
PNMA2	Yes
PNPLA8	Yes
PODXL	Yes
POLE3	Yes
POM121L1P	Yes
POMC	Yes
POSTN	Yes
POU3F2	Yes
POU3F2-B	Yes
POU3F3	Yes
POU3F4	Yes
POU4F2	Yes
PPARA	Yes
PPID	Yes
PPM1D	Yes
PPM1F	Yes
PPP1CA	Yes
PPP1CB	Yes
PPP1R12A	Yes
PPP1R16B	Yes
PPP3CB	Yes
PPP3CC	Yes
PPP4R1	Yes
PPP4R1L	Yes
PRAMEL3	Yes
PRCC	Yes
PRDM15	Yes
PRDX1	Yes
PRDX5	Yes
PREB	Yes
PRICKLE4	Yes
PRKACA	Yes
PRKAG2	Yes
PRKCA	Yes
PRKCB	Yes
PRKCG	Yes
PRKCSH	Yes
PRKX	Yes
PRNP	Yes
PRODH2	Yes
PROZ	Yes
PRRC2A	Yes
PSEN1	Yes
PSEN2	Yes
PSIP1	Yes
PSMB10	Yes
PSMB8	Yes
PTAFR	Yes
PTBP2	Yes
PTCH1	Yes
PTEN	Yes
PTER	Yes
PTGDS	Yes
PTGER4	Yes
PTGFR	Yes
PTGIS	Yes
PTGS2	Yes
PTH1R	Yes
PTI-1	Yes
PTK2	Yes
PTK2B	Yes
PTN	Yes
PTN-A	Yes
PTPN1	Yes
PTPN2	Yes
PTPRM	Yes
PTPRO	Yes
PTPRR	Yes
PURB	Yes
PXMP2	Yes
PXMP4	Yes
PXN	Yes
PXT1	Yes
Q13088	Yes
Q13138	Yes
Q13747	Yes
Q13749	Yes
Q14666	Yes
Q15789	Yes
Q16089	Yes
Q16668	Yes
Q2EF79	Yes
Q2F837	Yes
Q2LDA4	Yes
Q2TBK0	Yes
Q2TIL1	Yes
Q3I0J7	Yes
Q3LR94	Yes
Q3SCJ9	Yes
Q4R3D3	Yes
Q4R501	Yes
Q53FL7	Yes
Q53HQ0	Yes
Q5ISK2	Yes
Q5ISP8	Yes
Q6PVU4	Yes
Q6T7C3	Yes
Q6VEU6	Yes
Q6X2S3	Yes
Q8HXC0	Yes
Q8HZM9	Yes
Q8MKB4	Yes
Q8VHR7	Yes
Q95K51	Yes
Q98SP9	Yes
Q9CXU6	Yes
Q9HBP0	Yes
Q9PUR3	Yes
Q9PWG6	Yes
Q9UIL5	Yes
Q9W6Q3	Yes
QPCT	Yes
QRICH1	Yes
QTSA-12155	Yes
RAB27B	Yes
RABAC1	Yes
RABEP1	Yes
RAMP2	Yes
RAPH1	Yes
RARA	Yes
RARB	Yes
RARRES2	Yes
RARRES3	Yes
RASAL2	Yes
RBBP7	Yes
RBM47	Yes
RBM5	Yes
RBP1	Yes
RCHY1	Yes
RCN2	Yes
RDH5	Yes
RDX	Yes
REC8	Yes
REG1	Yes
REG1A	Yes
RELA	Yes
RELB	Yes
REN	Yes
REN1	Yes
REST	Yes
RET	Yes
RGD1563056	Yes
RGD1565844	Yes
RGL4	Yes
RH50	Yes
RHAG	Yes
RHBG	Yes
RHCG	Yes
RHOA	Yes
RHOC	Yes
RHOT1	Yes
RHOT2	Yes
RICTOR	Yes
RLF	Yes
RNF138RT1	Yes
RNF139	Yes
RNF146	Yes
RNF187	Yes
RNF34	Yes
RNF43	Yes
ROBO2	Yes
ROCK1	Yes
ROCK2	Yes
RORC	Yes
RPL12	Yes
RPL23A	Yes
RPL27A	Yes
RPL3L	Yes
RPS6KA1	Yes
RPS6KA2	Yes
RPS6KB1	Yes
RPTOR	Yes
RRAD	Yes
RRAGD	Yes
RRAS	Yes
RRAS2	Yes
RRM2	Yes
RYR3	Yes
S100A2	Yes
S100A4	Yes
S1PR3	Yes
SAA1	Yes
SAA2	Yes
SALL1	Yes
SAMD4A	Yes
SAP18	Yes
SATB2	Yes
SC5D	Yes
SCAP	Yes
SCARB2	Yes
SCIN	Yes
SCNN1A	Yes
SCNN1B	Yes
SCNN1G	Yes
SCP2	Yes
SCX	Yes
SDC3	Yes
SDK1	Yes
SEC24B	Yes
SEL1L3	Yes
SELL	Yes
SEPT9	Yes
SERF2	Yes
SERHL2	Yes
SERPINA1	Yes
SERPINA10	Yes
SERPINA3	Yes
SERPINC1	Yes
SERPINE1	Yes
SERPINE2	Yes
SERPINF1	Yes
SERPING1	Yes
SERPINI1	Yes
SFRP1	Yes
SGIP1	Yes
SGK1	Yes
SH2D2A	Yes
SHANK1	Yes
SHC2	Yes
SHH	Yes
SIAH2	Yes
SIGIRR	Yes
SIRPA	Yes
SIX1	Yes
SIX2	Yes
SIX4	Yes
SKIP	Yes
SLC12A1	Yes
SLC12A3	Yes
SLC14A2	Yes
SLC16A14	Yes
SLC17A1	Yes
SLC17A3	Yes
SLC1A4	Yes
SLC1A5	Yes
SLC22A12	Yes
SLC22A18	Yes
SLC22A3	Yes
SLC22A6	Yes
SLC23A1	Yes
SLC23A2	Yes
SLC25A17	Yes
SLC25A4	Yes
SLC26A4	Yes
SLC26A5	Yes
SLC27A2	Yes
SLC2A4	Yes
SLC30A1	Yes
SLC34A1	Yes
SLC35E3	Yes
SLC39A1	Yes
SLC39A10	Yes
SLC39A6	Yes
SLC3A1	Yes
SLC47A2	Yes
SLC4A1	Yes
SLC4A7	Yes
SLC5A11	Yes
SLC5A2	Yes
SLC6A13	Yes
SLC6A20	Yes
SLC6A20B	Yes
SLC6A3	Yes
SLC6A8	Yes
SLC7A10	Yes
SLC7A5	Yes
SLC7A9	Yes
SLC9A3R2	Yes
SLIT2	Yes
SLN	Yes
SLPI	Yes
SMAD2	Yes
SMAD3	Yes
SMAD4	Yes
SMAD6	Yes
SMAD7	Yes
SMARCA5	Yes
SMARCAL1	Yes
SMC3	Yes
SMO	Yes
SNAP23	Yes
SNAP25	Yes
SNRNP70	Yes
SNX18	Yes
SOAT1	Yes
SOD1	Yes
SORD	Yes
SOX11	Yes
SOX4	Yes
SOX8	Yes
SOX9	Yes
SP1	Yes
SPARC	Yes
SPATA48	Yes
SPOCK1	Yes
SPP1	Yes
SPRY2	Yes
SPRY4	Yes
SPRYD4	Yes
SPTA1	Yes
SPTBN1	Yes
SRC	Yes
SSC4D	Yes
SSH1	Yes
SSH2	Yes
SSH3	Yes
ST3GAL6	Yes
ST3GAL-VI	Yes
STAT1	Yes
STAU1	Yes
STC1	Yes
STC2	Yes
STK38L	Yes
STOM	Yes
STOX2	Yes
STS	Yes
SULF1	Yes
SULF2	Yes
SULT1B1	Yes
SUN1	Yes
SUSD2	Yes
SVCT1	Yes
SVCT2	Yes
SVIL	Yes
SYNPO	Yes
SZT2	Yes
TACC3	Yes
TACSTD2	Yes
TAGLN	Yes
TBC1D4	Yes
TBP	Yes
TBX1	Yes
TBXA2R	Yes
TCF21	Yes
TCN2	Yes
TDRD12	Yes
TDRP	Yes
TEAD2	Yes
TES	Yes
TESC	Yes
TFAP2A	Yes
TFAP2B	Yes
TFAP4	Yes
TFDP1	Yes
TFE3	Yes
TFPI	Yes
TFPI2	Yes
TFPT	Yes
TGFB1	Yes
TGFB1I1	Yes
TGFB2	Yes
TGFBI	Yes
TGFBR1	Yes
TGFBR2	Yes
TIAM1	Yes
TIAM2	Yes
TIGD5	Yes
TIMM8B	Yes
TIMP1	Yes
TIMP2	Yes
TIMP3	Yes
TINAG	Yes
TJP1	Yes
TJP2	Yes
TK1	Yes
TKT	Yes
TLN1	Yes
TLR4	Yes
TMEM135	Yes
TMEM30B	Yes
TMEM35A	Yes
TMX1	Yes
TNF	Yes
TNFAIP2	Yes
TNFAIP3	Yes
TNFSF10	Yes
TNNT2	Yes
TOM1	Yes
TP53	Yes
TP53BP2	Yes
TPM2	Yes
TPST1	Yes
TRAF1	Yes
TRAF3IP3	Yes
TRAF5	Yes
TREH	Yes
TRHR	Yes
TRIM2	Yes
TRIM3	Yes
TRIM32	Yes
TRIM37	Yes
TRIM38	Yes
TRIM44	Yes
TRIM9	Yes
TRPC1	Yes
TRPC5	Yes
TRPC6	Yes
TSC1	Yes
TSC2	Yes
TSG101	Yes
TSHZ1	Yes
TSHZ2	Yes
TSHZ3	Yes
TSNARE1	Yes
TSPAN1	Yes
TSPAN13	Yes
TSPAN2	Yes
TTC1	Yes
TTC8	Yes
TTC9B	Yes
TTN	Yes
TTR	Yes
TUSC3	Yes
TXNRD1	Yes
TYRO3	Yes
TYSND1	Yes
U2AF2	Yes
UBD	Yes
UGT2B10	Yes
UMOD	Yes
UNC5A	Yes
UPF1	Yes
UPK1A	Yes
UPK1B	Yes
UPK2	Yes
UPK3A	Yes
URAD	Yes
USF2	Yes
VAMP2	Yes
VASP	Yes
VCAM1	Yes
VCL	Yes
VDR	Yes
VEGFA	Yes
VEPH1	Yes
VHL	Yes
VPS28	Yes
VPS33B	Yes
VWF	Yes
WAS	Yes
WASF1	Yes
WASF2	Yes
WASHC5	Yes
WASL	Yes
WDR24	Yes
WEE1	Yes
WFDC2	Yes
WFS1	Yes
WNK1	Yes
WNT1	Yes
WNT10B	Yes
WNT11	Yes
WNT-11	Yes
WNT11B	Yes
WNT2	Yes
WNT2B	Yes
WNT3	Yes
WNT3A	Yes
WNT4	Yes
WNT5A	Yes
WNT5B	Yes
WNT6	Yes
WNT7B	Yes
WNT8B	Yes
WNT9A	Yes
WNT9B	Yes
WT1	Yes
WTIP	Yes
WWP2	Yes
XDH	Yes
XPO6	Yes
XPOT	Yes
YES1	Yes
YWHAG	Yes
YWHAQ	Yes
ZADH2	Yes
ZBTB11	Yes
ZBTB16	Yes
ZBTB25	Yes
ZBTB40	Yes
ZBTB43	Yes
ZBTB7A	Yes
ZBTB8A	Yes
ZC3H3	Yes
ZC3H6	Yes
ZC3H8	Yes
ZDHHC18	Yes
ZEB1	Yes
ZFAND5	Yes
ZFP105	Yes
ZFP120	Yes
ZFP142	Yes
ZFP174	Yes
ZFP219	Yes
ZFP236	Yes
ZFP248	Yes
ZFP281	Yes
ZFP3	Yes
ZFP341	Yes
ZFP358	Yes
ZFP36L2	Yes
ZFP413	Yes
ZFP438	Yes
ZFP558	Yes
ZFP655	Yes
ZFP688	Yes
ZFP692	Yes
ZFP709	Yes
ZFP738	Yes
ZFP758	Yes
ZFP760	Yes
ZFP777	Yes
ZFP780B	Yes
ZFP809	Yes
ZFP810	Yes
ZFP820	Yes
ZFP825	Yes
ZFP846	Yes
ZFP91	Yes
ZFP932	Yes
ZFP974	Yes
ZFR	Yes
ZKSCAN2	Yes
ZMPSTE24	Yes
ZNF142	Yes
ZNF174	Yes
ZNF219	Yes
ZNF236	Yes
ZNF248	Yes
ZNF281	Yes
ZNF296	Yes
ZNF35	Yes
ZNF358	Yes
ZNF438	Yes
ZNF558	Yes
ZNF639	Yes
ZNF644	Yes
ZNF655	Yes
ZNF668	Yes
ZNF688	Yes
ZNF697	Yes
ZNF709	Yes
ZNF711	Yes
ZNF777	Yes
ZNF862	Yes
ZP3	Yes
ZXDA	Yes
ZXDB	Yes
ZXDC	Yes
ZYX	Yes
